English;Czech
ever;někdy, vůbec
every;každý
everybody;každý, všichni
everyone;každý, všichni
everything;všechno
exam;zkouška
example;příklad
excited;nadšený
exciting;vzrušující
exercise;cvičení, cvičit
expensive;drahý
explain;vysvětlit
extra;navíc, dodatečný
eye;oko
face;obličej, tvář
fact;fakt, skutečnost
fall;padat, podzim
false;nesprávný, falešný
family;rodina
famous;slavný
fantastic;fantastický
far;daleko
farm;farma
farmer;farmář
fast;rychlý, rychle
fat;tlustý, tuk
father;otec
favourite;oblíbený
February;únor
feel;cítit se
feeling;pocit
festival;festival
few;málo, pár
fifteen;patnáct
fifth;pátý
fifty;padesát
fill;naplnit, vyplnit
film;film
final;konečný, finále
find;najít
fine;dobře, v pořádku
finish;dokončit, konec
fire;oheň
first;první
fish;ryba
five;pět
flat;byt
flight;let
floor;podlaha, patro
flower;květina
fly;letět
follow;následovat
food;jídlo
foot;noha, chodidlo
football;fotbal
for;pro
forget;zapomenout
form;formulář, forma
forty;čtyřicet
four;čtyři
fourteen;čtrnáct
fourth;čtvrtý
free;volný, zdarma
Friday;pátek
friend;přítel, kamarád
friendly;přátelský
from;z, od
front;přední část, vpředu
fruit;ovoce
full;plný
fun;zábava
funny;legrační
future;budoucnost
game;hra
garden;zahrada
geography;zeměpis
get;dostat, stát se
girl;dívka
girlfriend;přítelkyně
give;dát
glass;sklenice, sklo
go;jít, jet
good;dobrý
goodbye;nashledanou
grandfather;dědeček
grandmother;babička
grandparent;prarodič
great;skvělý, velký
green;zelený
grey;šedý
group;skupina
grow;růst, pěstovat
guess;hádat, odhad
guitar;kytara
gym;tělocvična, posilovna
hair;vlasy
half;polovina, půl
hand;ruka, předat
happen;stát se, přihodit se
happy;šťastný
hard;tvrdý, obtížný, usilovně
hat;klobouk, čepice
hate;nenávidět
have;mít
have to;muset
he;on
head;hlava
health;zdraví
healthy;zdravý
hear;slyšet
hello;dobrý den, ahoj
help;pomoc, pomoci
her;jí, její
here;tady, zde
hey;hej
hi;ahoj
high;vysoký
him;jemu, ho
his;jeho
history;historie, dějepis
hobby;koníček, hobby
holiday;dovolená, svátek
home;domov, doma
homework;domácí úkol
hope;doufat, naděje
horse;kůň
hospital;nemocnice
hot;horký, žhavý
hotel;hotel
hour;hodina
house;dům
how;jak
however;nicméně, avšak
hundred;sto
hungry;hladový
husband;manžel
I;já
ice;led
ice cream;zmrzlina
idea;nápad
if;jestli, kdyby
imagine;představit si
important;důležitý
improve;zlepšit
in;v, uvnitř
include;zahrnovat
information;informace
interest;zájem
interested;zaujatý, se zájmem
interesting;zajímavý
internet;internet
interview;rozhovor, pohovor
into;do (směrem)
introduce;představit
island;ostrov
it;to, ono
its;jeho, její (neživ.)
jacket;bunda, sako
January;leden
jeans;džíny
job;práce, zaměstnání
join;připojit se, spojit
journey;cesta, putování
juice;džus, šťáva
July;červenec
June;červen
just;jen, právě
keep;držet, nechat, udržet
key;klíč
kilometre;kilometr
kind (type);druh, typ
kitchen;kuchyně
know;vědět, znát
land;země, pevnina
language;jazyk
large;velký
last (final);poslední, minulý
late;pozdě
later;později
laugh;smát se, smích
learn;učit se
leave;odejít, opustit
left;levý, vlevo
leg;noha (celá)
lesson;lekce, hodina
let;nechat, dovolit
letter;dopis, písmeno
library;knihovna
lie;ležet, lhát, lež
life;život
light (from the sun/a lamp);světlo
like (similar);jako, podobný
like (find sb/sth pleasant);mít rád
line;linka, čára
lion;lev
list;seznam
listen;poslouchat
little;malý, trochu
live;žít, bydlet
local;místní
long;dlouhý
look;dívat se, vypadat
lose;ztratit, prohrát
lot;hodně (a lot)
love;láska, milovat
lunch;oběd
machine;stroj, přístroj
magazine;časopis
main;hlavní
make;udělat, vyrobit
man;muž
many;mnoho
map;mapa
March;březen
market;trh, tržiště
married;ženatý, vdaná
match (contest);zápas, utkání
May;květen, smět (mod. sloveso)
maybe;možná
me;mě, mi
meal;jídlo (pokrm)
mean;znamenat, myslet
meaning;význam
meat;maso
meet;potkat, seznámit se
meeting;schůzka
member;člen
menu;menu, jídelní lístek
message;zpráva
metre;metr
midnight;půlnoc
mile;míle
milk;mléko
million;milion
minute;minuta
miss;minout, postrádat, slečna
mistake;chyba
model;model
modern;moderní
moment;okamžik, chvíle
Monday;pondělí
money;peníze
month;měsíc
more;více
morning;ráno
most;většina, nejvíce
mother;matka
mountain;hora
mouse;myš
mouth;ústa
move;pohybovat se, přestěhovat
movie;film
much;hodně (nepočitatelné)
mum;máma
museum;muzeum
music;hudba
must;muset
my;můj
name;jméno
natural;přírodní
near;blízko, u
need;potřebovat
negative;záporný, negativní
neighbour;soused
never;nikdy
new;nový
news;zprávy
newspaper;noviny
next;další, příští
next to;vedle
nice;milý, hezký
night;noc
nine;devět
nineteen;devatenáct
ninety;devadesát
no;ne, žádný
no one;nikdo
nobody;nikdo
north;sever
nose;nos
not;ne (zápor)
note;poznámka, nota
nothing;nic
November;listopad
now;nyní, teď
number;číslo
nurse;zdravotní sestra/bratr
object;předmět, objekt
o'clock;hodina (čas)
October;říjen
of;z, od, něčí
off;pryč, vypnuto
office;kancelář
often;často
oh;ach, ó
OK;dobře, v pořádku
old;starý
on;na
once;jednou
one;jedna, jeden
onion;cibule
online;online, na síti
only;jen, pouze
open;otevřít, otevřený
opinion;názor
opposite;naproti, opačný
or;nebo
orange;pomeranč, oranžový
order;objednat, objednávka, pořádek
other;jiný, ostatní
our;náš
out;ven, pryč
outside;venku, vně
over;nad, přes
own;vlastní, vlastnit
page;stránka
paint;malovat, barva
painting;obraz, malba
pair;pár, dvojice
paper;papír
paragraph;odstavec
parent;rodič
park;park, parkovat
part;část, díl
partner;partner
party;párty, oslava, strana
passport;cestovní pas
past;minulost, minulý
pay;platit
pen;pero
pencil;tužka
people;lidé
pepper;pepř
perfect;dokonalý
period;období, tečka
person;osoba
personal;osobní
phone;telefon
photo;fotka
photograph;fotografie
phrase;fráze
piano;klavír, piano
picture;obrázek
piece;kus, kousek
pig;prase
pink;růžový
place;místo, umístit
plan;plán, plánovat
plane;letadlo
plant;rostlina, sázet
play;hrát
player;hráč
please;prosím
point;bod, ukazovat
police;policie
policeman;policista
pool;bazén, rybník
poor;chudý
popular;populární
positive;kladný, pozitivní
possible;možný
post;pošta, zveřejnit
potato;brambora
pound;libra (měna/váha)
practice;praxe, cvičení (podst. jméno)
practise;cvičit, praktikovat (sloveso)
prefer;dávat přednost
prepare;připravit
present;dárek, současný
pretty;pěkný, dost
price;cena
probably;pravděpodobně
problem;problém
product;produkt
programme;program
project;projekt
purple;fialový
put;dát, položit
quarter;čtvrt
question;otázka
quick;rychlý
quickly;rychle
quiet;tichý
quite;docela, poměrně
radio;rádio
rain;déšť, pršet
read;číst
reader;čtenář
reading;čtení
ready;připravený
real;skutečný
really;opravdu
reason;důvod
red;červený
relax;relaxovat
remember;pamatovat si
repeat;opakovat
report;zpráva, hlásit
restaurant;restaurace
result;výsledek
return;návrat, vrátit
rice;rýže
rich;bohatý
ride;jet, jízda (na kole, koni)
right;pravý, správný, vpravo
river;řeka
road;silnice, cesta
room;místnost, pokoj
routine;rutina
rule;pravidlo
run;běhat
sad;smutný
salad;salát
salt;sůl
same;stejný
sandwich;sendvič
Saturday;sobota
say;říci
school;škola
science;věda
scientist;vědec
sea;moře
second;druhý, vteřina
section;sekce, oddíl
see;vidět
sell;prodat
send;poslat
sentence;věta
September;září
seven;sedm
seventeen;sedmnáct
seventy;sedmdesát
share;sdílet, podíl
she;ona
sheep;ovce
shirt;košile
shoe;bota
shop;obchod, nakupovat
shopping;nakupování, nákupy
short;krátký, nízký
should;měl by
show;ukázat, představení
shower;sprcha
sick;nemocný
similar;podobný
sing;zpívat
singer;zpěvák
sister;sestra
sit;sedět
situation;situace
six;šest
sixteen;šestnáct
sixty;šedesát
skill;dovednost, schopnost
skirt;sukně
sleep;spát, spánek
slow;pomalý
small;malý
snake;had
snow;sníh, sněžit
so;tak, tedy
some;nějaký, nějaké
somebody;někdo
someone;někdo
something;něco
sometimes;někdy
son;syn
song;píseň
soon;brzy
sorry;omlouvám se
sound;zvuk, znít
soup;polévka
south;jih
space;prostor, vesmír
speak;mluvit
special;speciální
spell;hláskovat
spelling;hláskování
spend;utratit, strávit
sport;sport
spring;jaro, pramen
stand;stát (na nohou)
star;hvězda
start;začít, start
statement;prohlášení, tvrzení
station;stanice, nádraží
stay;zůstat, pobyt
still;stále, ještě
stop;zastavit, zastávka
story;příběh
street;ulice
strong;silný
student;student
study;studovat, studium
style;styl
subject;předmět, subjekt
success;úspěch
sugar;cukr
summer;léto
sun;slunce
Sunday;neděle
supermarket;supermarket
sure;jistý, jistě
sweater;svetr
swim;plavat
swimming;plavání
table;stůl, tabulka
take;vzít, trvat (o čase)
talk;mluvit, hovor
tall;vysoký (osoba/předmět)
taxi;taxi
tea;čaj
teach;učit
teacher;učitel
team;tým
teenager;náctiletý
telephone;telefon
television;televize
tell;říct, povědět
ten;deset
tennis;tenis
terrible;hrozný, strašný
test;test, zkouška
text;text, napsat zprávu
than;než
thank;poděkovat
thanks;díky
that;ten, ta, to, že
the;určitý člen
theatre;divadlo
their;jejich
them;jim, je
then;potom, pak
there;tam, tamhle
they;oni, ony, ona
thing;věc
think;myslet, přemýšlet
third;třetí
thirsty;žíznivý
thirteen;třináct
thirty;třicet
this;tento, tato, toto
thousand;tisíc
three;tři
through;skrz, přes
Thursday;čtvrtek
ticket;vstupenka, lístek
time;čas
tired;unavený
title;titul, název
to;k, do, na
today;dnes
together;spolu, dohromady
toilet;záchod, toaleta
tomato;rajče
tomorrow;zítra
tonight;dnes večer
too;také, příliš
tooth;zub
topic;téma
tourist;turista
town;město (menší)
traffic;doprava, provoz
train;vlak, trénovat
travel;cestovat, cestování
tree;strom
trip;výlet, cesta
trousers;kalhoty
true;pravdivý, pravda
try;zkusit, pokusit se
T-shirt;tričko
Tuesday;úterý
turn;otočit se, zahnout
TV;TV (televize)
twelve;dvanáct
twenty;dvacet
twice;dvakrát
two;dva
type;typ, psát na stroji
umbrella;deštník
uncle;strýc
under;pod
understand;rozumět
university;univerzita
until;dokud, až do
up;nahoru
upstairs;nahoře, po schodech nahoru
us;nás, nám
use;používat, použití
useful;užitečný
usually;obvykle
vacation;dovolená
vegetable;zelenina
very;velmi, moc
video;video
village;vesnice
visit;navštívit, návštěva
visitor;návštěvník
wait;čekat
waiter;číšník
wake;vzbudit se
walk;chodit, procházka
wall;stěna, zeď
want;chtít
warm;teplý
wash;umýt, mýt
watch;sledovat, hodinky
water;voda
way;cesta, způsob
we;my
wear;nosit (oblečení)
weather;počasí
website;webová stránka
Wednesday;středa
week;týden
weekend;víkend
welcome;vítaný, přivítat
well;dobře, studna
west;západ
what;co, jaký
when;kdy
where;kde, kam
which;který
white;bílý
who;kdo
why;proč
wife;manželka
will;budu (budoucí čas)
win;vyhrát
window;okno
wine;víno
winter;zima
with;s, se
without;bez
woman;žena
wonderful;nádherný, úžasný
word;slovo
work;pracovat, práce
worker;pracovník
world;svět
would;by (podmiňovací způsob)
write;psát
writer;spisovatel, pisatel
writing;psaní
wrong;špatný, nesprávný
yeah;jo, ano
year;rok
yellow;žlutý
yes;ano
yesterday;včera
you;ty, vy
young;mladý
your;tvůj, váš
yourself;sebe, sobě (sám)
