Anglicky;Česky
convert;převést
convey;sdělit, dopravit
convinced;přesvědčený
convincing;přesvědčivý
cop;polda (slang.)
cope;zvládnout, vyrovnat se
core;jádro
corporate;korporátní
corporation;korporace
corridor;chodba
council;rada
counter (flat surface);pult
county;kraj, okres
courage;odvaha
coverage;pokrytí
cowboy;kovboj
crack;prasklina, prasknout
crash;havárie, zhroutit se
creation;stvoření
creativity;tvořivost
creature;stvoření, tvor
credit;úvěr, kredit
crew;posádka
crisis;krize
criterion;kritérium
critic;kritik
critical;kritický
critically;kriticky
criticism;kritika
criticize;kritizovat
crop;plodina
crucial;klíčový
cruise;plavba
cry;plakat, křičet
cue;narážka, podnět
cure;lék, vyléčit
curious;zvědavý
current;proud, současný
curriculum;kurikulum, učební plán
curve;křivka
curved;zakřivený
cute;roztomilý
dairy;mléčný, mlékárna
dare;odvážit se
darkness;tma
database;databáze
date;datum, rande
deadline;uzávěrka
deadly;smrtící
dealer;prodejce
debate;debata
debt;dluh
decent;slušný
deck;paluba, terasa
declare;prohlásit
decline;pokles, klesat, odmítnout
decoration;dekorace
decrease;snížit, pokles
deeply;hluboce
defeat;porazit, porážka
defence;obrana
defend;bránit
defender;obránce
delay;zpoždění, zdržet
delete;smazat
deliberate;úmyslný, uvážený
deliberately;úmyslně
delight;potěšení
delighted;potěšený
delighted;potěšený
delivery;doručení
demand;poptávka, požadavek
democracy;demokracie
democratic;demokratický
demonstrate;demonstrovat, ukázat
demonstration;demonstrace
deny;popřít
depart;odjet
dependent;závislý
deposit;záloha, vklad
depressed;deprimovaný
depressing;depresivní
depression;deprese, snížení
depth;hloubka
derive;odvodit
desert;poušť
deserve;zasloužit si
desire;touha
desperate;zoufalý
desperately;zoufale
destruction;zničení
detail;detail
detailed;detailní
detect;detekovat
determination;odhodlání
devote;věnovat
differ;lišit se
dig;kopat
dime;desetník (mince)
disability;postižení
disabled;postižený
disagreement;neshoda
disappoint;zklamat
disappointment;zklamání
disc;disk
discipline;disciplína
discount;sleva
discourage;odradit
dishonest;nečestný
dismiss;propustit, zamítnout
disorder;nepořádek, porucha
display;zobrazit, displej
distant;vzdálený
distinct;odlišný, zřetelný
distinguish;rozlišovat
distract;rozptylovat
distribute;distribuovat
distribution;distribuce
district;okres, čtvrť
disturb;rušit
dive;potápět se
diverse;různorodý
diversity;rozmanitost
divide;rozdělit
division;divize, rozdělení
divorce;rozvod
document;dokument
domestic;domácí
dominant;dominantní
dominate;dominovat
donation;dar
dot;tečka
downwards;dolů
dozen;tucet
draft;návrh, průvan
drag;táhnout, vléct
dramatic;dramatický
dramatically;dramaticky
drought;sucho
dull;nudný, tupý
dump;skládka, zahodit
duration;trvání
dynamic;dynamický
eager;dychtivý
economics;ekonomika (věda)
economist;ekonom
edit;upravit
edition;vydání
editorial;úvodník, redakční
efficient;efektivní
efficiently;efektivně
elbow;loket
elderly;starší (lidé)
elect;zvolit
electronics;elektronika
elegant;elegantní
elementary;elementární
eliminate;eliminovat
elsewhere;jinde
embrace;obejmout, přijmout
emerge;vynořit se, objevit se
emission;emise
emotional;emocionální
emotionally;emocionálně
emphasis;důraz
emphasize;zdůraznit
empire;říše
enable;umožnit
encounter;setkat se, setkání
engage;zapojit se, zaměstnat
enhance;zlepšit
enjoyable;příjemný
enquiry;dotaz
ensure;zajistit
entertaining;zábavný
enthusiasm;nadšení
enthusiastic;nadšený
entire;celý
entirely;úplně
entrepreneur;podnikatel
envelope;obálka
equal;rovný, stejný
equip;vybavit
equivalent;ekvivalentní
era;éra
erupt;vybuchnout
essentially;v podstatě
establish;založit
estate;majetek, panství
estimate;odhad
ethic;etika
ethical;etický
ethnic;etnický
evaluate;vyhodnotit
evaluation;hodnocení
even;dokonce, sudý, vyrovnat
evident;zjevný
evil;zlý, zlo
evolution;evoluce
evolve;vyvíjet se
examination;zkouška
exceed;překročit
exception;výjimka
excessive;nadměrný
exclude;vyloučit
excuse;omluva, omluvit
executive;výkonný, ředitel
existence;existence
exotic;exotický
expansion;expanze
expectation;očekávání
expedition;expedice
expense;náklady
expertise;odbornost
exploit;využít, zneužít
exploration;průzkum
expose;vystavit
exposure;expozice, vystavení
extend;rozšířit
extension;prodloužení, rozšíření
extensive;rozsáhlý
extensively;rozsáhle
extent;rozsah
external;externí
extract;extrakt, extrahovat
extraordinary;mimořádný
extreme;extrémní
fabric;látka
fabulous;báječný
facility;zařízení
faculty;fakulta, schopnost
failed;neúspěšný
failure;selhání, neúspěch
faith;víra
fake;falešný
fame;sláva
fantasy;fantazie
fare;jízdné
fault;chyba, vina
favour;laskavost, upřednostňovat
feather;peří
fee;poplatek
feed;krmit, krmení
feedback;zpětná vazba
feel;cítit
fellow;kolega, druh
figure;postava, číslo, vypočítat
file;soubor, spis
finance;finance
finding;zjištění, nález
firefighter;hasič
firework;ohňostroj
firm;firma
firm;pevný
firmly;pevně
fix;opravit, upevnit
flame;plamen
flash;blesk, blýskat
flavour;chuť
flexible;flexibilní
float;plavat (na vodě), vznášet se
fold;složit, záhyb
folding;skládací
following;následující
fond;mít rád
fool;blázen, oklamat
forbid;zakázat
forecast;předpověď
forgive;odpustit
format;formát
formation;formace
former;bývalý
formerly;dříve
fortunate;šťastný, mající štěstí
fortune;štěstí, jmění
forum;fórum
forward;vpřed
fossil;fosilie
found;založit (minulý čas od find)
foundation;nadace, základ
founder;zakladatel
fraction;zlomek
fragment;fragment
framework;rámec
fraud;podvod
free;volný, zdarma
freedom;svoboda
freely;svobodně
frequency;frekvence
frequent;častý
fuel;palivo
fulfil;splnit
full-time;na plný úvazek
fully;plně
function;funkce
fund;fond, financovat
fundamental;základní
fundamentally;zásadně
funding;financování
furious;zuřivý
furthermore;navíc, kromě toho
gain;získat
gallon;galon
gaming;hraní (her)
gang;gang
gay;homosexuální
gender;pohlaví, rod
gene;gen
generate;generovat
genetic;genetický
genius;génius
genre;žánr
genuine;skutečný, upřímný
genuinely;skutečně, upřímně
gesture;gesto
globalization;globalizace
globe;zeměkoule
golden;zlatý
goodness;dobrota
gorgeous;nádherný
govern;vládnout
grab;chytit, popadnout
grade;stupeň, známka
gradually;postupně
grand;velký, impozantní
grant;grant, udělit
graphic;grafický
graphics;grafika
greatly;velmi, značně
greenhouse;skleník
guarantee;záruka, zaručit
guideline;směrnice
habitat;habitat
handle;rukojeť, manipulovat
harbour;přístav
harm;poškodit, újma
harmful;škodlivý
headquarters;ústředí
heal;léčit
healthcare;zdravotní péče
hearing;sluch, slyšení
heaven;nebe
heel;pata, podpatek
hell;peklo
helmet;helma
hence;proto, odtud
herb;bylina
hesitate;váhat
hidden;skrytý
high;vysoký
hilarious;veselý, k popukání
hip;bok
hire;najmout
historian;historik
hold;držet, pořádat
hollow;dutý
holy;svatý
homeless;bezdomovec
honesty;čestnost, poctivost
honey;med
honour;čest, pocta
hook;hák, háček
hopefully;doufejme
host;hostitel, hostit
house;dům
household;domácnost
housing;bydlení
humorous;humorný
humour;humor
hunger;hlad
hunt;lovit, lov
hunting;lov
hurt;zranit, bolet
hypothesis;hypotéza
icon;ikona
ID;ID, průkaz totožnosti
ideal;ideální
identical;identický
illusion;iluze
illustrate;ilustrovat
illustration;ilustrace
imagination;představivost
immigration;imigrace
immune;imunní
impatient;netrpělivý
implement;implementovat, zavést
implication;implikace, důsledek
imply;naznačovat
impose;uložit, vnutit
impress;udělat dojem
impressed;ohromen
incentive;pobídka
inch;palec (jednotka délky)
incident;incident
income;příjem
incorporate;začlenit
incorrect;nesprávný
increasingly;stále více
independence;nezávislost
index;index
indication;indikace, známka
industrial;průmyslový
inevitable;nevyhnutelný
inevitably;nevyhnutelně
infection;infekce
infer;odvodit
inflation;inflace
info;informace
inform;informovat
infrastructure;infrastruktura
inhabitant;obyvatel
inherit;zdědit
initial;počáteční
initially;zpočátku
initiative;iniciativa
ink;inkoust
inner;vnitřní
innovation;inovace
innovative;inovativní
input;vstup
insert;vložit
insight;vhled
insist;trvat na
inspector;inspektor
inspire;inspirovat
install;instalovat
installation;instalace
instance;příklad, instance
instant;okamžik, okamžitý
instantly;okamžitě
institute;ústav, institut
institution;instituce
insurance;pojištění
integrate;integrovat
intellectual;intelektuální
intended;zamýšlený
intense;intenzivní
interact;interagovat
interaction;interakce
internal;interní, vnitřní
interpret;interpretovat
interpretation;interpretace
interrupt;přerušit
interval;interval
invade;napadnout
invasion;invaze
investigation;vyšetřování
investment;investice
investor;investor
isolate;izolovat
isolated;izolovaný
issue;problém, vydat
jail;vězení
jet;tryska, proudové letadlo
joint;kloub, společný
journalism;žurnalistika
joy;radost
judgement;úsudek
junior;mladší
jury;porota
justice;spravedlnost
justify;ospravedlnit
kindergarten;školka
kit;sada, souprava
labour;práce, pracovní síla
ladder;žebřík
landing;přistání
landscape;krajina
lane;jízdní pruh, ulička
largely;z velké části
lately;v poslední době
latest;nejnovější
launch;spustit, odpálit
leadership;vedení
league;liga
lean;opřít se, hubený
leave;odejít, nechat
legend;legenda
lens;čočka, objektiv
level;úroveň
licence;licence
lifetime;životnost
lighting;osvětlení
likewise;stejně tak
limitation;omezení
limited;omezený
line;čára, linka, fronta
literally;doslova
literary;literární
litter;smetí, vrh (mláďat)
lively;živý
load;naložit, náklad
loan;půjčka
logical;logický
logo;logo
long-term;dlouhodobý
loose;volný, uvolněný
lord;pán
lottery;loterie
low;nízký
lower;snížit
loyal;loajální
lung;plíce
lyric;text (písně)
magnificent;nádherný
maintain;udržovat
majority;většina
make;udělat, tvořit
makeup;make-up, složení
making;výroba, tvorba
manufacture;vyrábět
manufacturing;výroba
map;mapa
marathon;maraton
margin;okraj, marže
marker;značkovač, fix
martial;bojový
mass;hmota, masa
massive;masivní
master;mistr, ovládat
matching;odpovídající
mate;kamarád, partner
material;materiál
maximum;maximum
means;prostředek, znamená
measurement;měření
mechanic;mechanik
mechanical;mechanický
mechanism;mechanismus
medal;medaile
medication;lék
medium;médium, střední
melt;tát
membership;členství
memorable;nezapomenutelný
metaphor;metafora
military;vojenský
miner;horník
mineral;minerál
minimum;minimum
minister;ministr
minor;menší, nezletilý
minority;menšina
miserable;mizerný
mission;mise
mistake;chyba
mixed;smíšený
mode;režim, mód
model;model
modest;skromný
modify;upravit
monitor;monitor, sledovat
monster;monstrum
monthly;měsíční
monument;památník
moral;morální
moreover;navíc, kromě toho
mortgage;hypotéka
mosque;mešita
mosquito;komár
motion;pohyb
motivate;motivovat
motivation;motivace
motor;motor
mount;hora, namontovat
moving;pohyblivý, dojemný
multiple;vícenásobný
multiply;násobit
mysterious;záhadný
myth;mýtus
naked;nahý
narrow;úzký
nasty;ošklivý, nepříjemný
national;národní
navigation;navigace
nearby;nedaleký
neat;úhledný, čistý
necessity;nutnost
negative;negativní
negotiate;vyjednávat
negotiation;vyjednávání
nerve;nerv
neutral;neutrální
nevertheless;nicméně
newly;nově
nickel;nikl, pětník (mince)
nightmare;noční můra
norm;norma
notebook;poznámkový blok
notion;pojem, představa
novelist;romanopisec
nowadays;v dnešní době
numerous;četný
nursing;ošetřovatelství
nutrition;výživa
obesity;obezita
obey;poslouchat
object;předmět, namítat
objective;cíl, objektivní
obligation;závazek
observation;pozorování
observe;pozorovat
observer;pozorovatel
obstacle;překážka
obtain;získat
occasionally;občas
occupation;povolání, okupace
occupy;obsadit
offence;přestupek, urážka
offend;urazit
offender;pachatel
offensive;urážlivý, útočný
official;oficiální
ongoing;probíhající
opening;otevření, otvor
openly;otevřeně
opera;opera
operate;provozovat
operator;operátor
opponent;oponent
oppose;postavit se proti
opposed;opačný, postavený proti
opposition;opozice
optimistic;optimistický
orchestra;orchestr
organ;orgán
organic;organický
origin;původ
otherwise;jinak
outcome;výsledek
outer;vnější
outfit;oblečení, vybavení
outline;náčrt, nastínit
output;výstup
outstanding;vynikající
overall;celkový
overcome;překonat
overnight;přes noc
owe;dlužit
ownership;vlastnictví
oxygen;kyslík
pace;tempo
package;balíček
packet;balíček (malý)
palm;dlaň, palma
panel;panel
panic;panika
parade;přehlídka
parallel;paralelní
parliament;parlament
part-time;na částečný úvazek
participant;účastník
participation;účast
partly;částečně
partnership;partnerství
passage;průchod, pasáž
passionate;vášnivý
password;heslo
patch;náplast, záplata
patience;trpělivost
patient;trpělivý, pacient
pause;pauza
peer;vrstevník, nahlédnout
penalty;pokuta, trest
pension;důchod
perceive;vnímat
perception;vnímání
permanent;trvalý
permanently;trvale
permit;povolit, povolení
perspective;perspektiva
pharmacy;lékárna
phase;fáze
phenomenon;fenomén
philosophy;filozofie
physician;lékař, praktik
pick;vybrat, sebrat
picture;obrázek, představa
pile;hromada
pill;pilulka
pitch;hřiště, výška (tónu)
pity;lítost
placement;umístění
plain;prostý, rovina
plot;zápletka, pozemek
plus;plus, navíc
pointed;špičatý
popularity;popularita
portion;porce, část
pose;póza, pózovat, představovat (problém)
position;pozice, postavení
positive;pozitivní
possess;vlastnit
potential;potenciál, potenciální
potentially;potenciálně
power;síla, moc
praise;chvála, chválit
precede;předcházet
precious;drahocenný
precise;přesný
precisely;přesně
predictable;předvídatelný
preference;preference
pregnant;těhotná
preparation;příprava
presence;přítomnost
preserve;zachovat
presidential;prezidentský
price;cena
pride;hrdost
primarily;primárně
prime;hlavní, prvotní
principal;ředitel, hlavní
principle;princip
print;tisk, tisknout
prior;předchozí
priority;priorita
privacy;soukromí
probability;pravděpodobnost
probable;pravděpodobný
procedure;postup
proceed;pokračovat
process;proces
produce;vyrábět, produkt
professional;profesionální
programming;programování
progress;pokrok
progressive;progresivní
prohibit;zakázat
project;projekt, promítat
promising;slibný
promotion;povýšení, propagace
prompt;rychlý, podnět
proof;důkaz
proportion;podíl, proporce
proposal;návrh
propose;navrhnout
prospect;vyhlídka
protection;ochrana
protein;protein
protester;demonstrant
psychological;psychologický
psychologist;psycholog
psychology;psychologie
publication;publikace
publicity;publicita
publishing;vydavatelství
punk;punk
pupil;žák, zornice
purchase;nákup, koupit
pure;čistý
purely;čistě
pursue;usilovat, stíhat
pursuit;pronásledování, snaha
puzzle;hádanka
questionnaire;dotazník
racial;rasový
racism;rasismus
racist;rasista, rasistický
radiation;záření
rail;kolejnice
random;náhodný
range;rozsah, řada
rank;hodnost, řadit
rapid;rychlý
rapidly;rychle
rat;krysa
rate;míra, hodnota, rychlost
rating;hodnocení
raw;syrový
reach;dosáhnout
realistic;realistický
reasonable;rozumný
reasonably;rozumně
rebuild;přestavět
recall;vzpomenout si, odvolat
receiver;přijímač
recession;recese
reckon;počítat, domnívat se
recognition;uznání
recover;zotavit se
recovery;zotavení
recruit;rekrutovat, nováček
reduction;snížení
referee;rozhodčí
refugee;uprchlík
regard;ohled, považovat
regional;regionální
register;registrovat, rejstřík
registration;registrace
regret;litovat
regulate;regulovat
regulation;regulace
reinforce;posílit
relatively;relativně
relevant;relevantní
relief;úleva, pomoc
relieve;ulevit
relieved;ulevený
rely;spoléhat se
remark;poznámka
remarkable;pozoruhodný
remarkably;pozoruhodně
reporting;zpravodajství
representative;zástupce
reputation;pověst
requirement;požadavek
rescue;záchrana, zachránit
reserve;rezerva, rezervovat
resident;obyvatel
resign;rezignovat
resist;odolat
resolution;rozlišení, usnesení
resolve;vyřešit
resort;letovisko, uchýlit se k
restore;obnovit
restrict;omezit
restriction;omezení
résumé;životopis
retail;maloobchod
retain;udržet, zachovat
retirement;odchod do důchodu
reveal;odhalit
revenue;příjem
revision;revize
revolution;revoluce
reward;odměna
rhythm;rytmus
rid;zbavit se
ridiculous;směšný
risky;riskantní
rival;soupeř
rob;okrást
robbery;loupež
rocket;raketa
romance;romantika
root;kořen
rose;růže, zvedl se (minulý čas od rise)
roughly;zhruba
round;kulatý, kolo
routine;rutina
rub;třít, mnout
rubber;guma
ruin;zničit, zřícenina
rural;venkovský
rush;spěch
sample;vzorek
satellite;satelit
satisfaction;spokojenost
satisfied;spokojený
satisfy;uspokojit
saving;úspora
scale;měřítko, váha
scandal;skandál
scare;vyděsit
scenario;scénář
schedule;rozvrh, naplánovat
scheme;schéma, plán
scholar;učenec
scholarship;stipendium
scratch;škrábanec, poškrábat
scream;křičet, křik
screen;obrazovka
screening;promítání, prověřování
seat;sedadlo
sector;sektor
secure;zabezpečit, bezpečný
seek;hledat
seeker;hledač
select;vybrat
selection;výběr
self;já, vlastní
seminar;seminář
senior;starší, nadřízený
sense;smysl, pocit
sensitive;citlivý
sentence;věta, rozsudek
sequence;sekvence
session;sezení, zasedání
settle;usadit se, urovnat
settler;osadník
severe;přísný, vážný
severely;přísně, vážně
sexy;sexy
shade;stín, odstín
shadow;stín
shallow;mělký
shame;ostuda
shape;tvar
shaped;tvarovaný
shelter;přístřeší
shift;posun, směna
ship;loď
shock;šok
shocked;šokovaný
shocking;šokující
shooting;střelba
shore;pobřeží
short-term;krátkodobý
shortage;nedostatek
shortly;brzy, krátce
shot;výstřel, střela
sibling;sourozenec
sidewalk;chodník
signature;podpis
significance;význam
significant;významný
significantly;významně
silence;ticho
silk;hedvábí
sincere;upřímný
skilled;kvalifikovaný
skull;lebka
slave;otrok
slide;skluzavka, klouzat
slight;mírný
slip;uklouznout, smyk
slogan;slogan
slope;svah
so-called;takzvaný
solar;solární
somehow;nějakým způsobem
sometime;někdy
somewhat;poněkud
sophisticated;sofistikovaný
soul;duše
spare;náhradní, ušetřit
specialist;specialista
specialise;specializovat se
species;druh (biol.)
specify;specifikovat
spectacular;velkolepý
spectator;divák
speculate;spekulovat
speculation;spekulace
speed;rychlost
spice;koření
spill;rozlít
spiritual;duchovní
spite;navzdory
split;rozdělit
spoil;zkazit
spokesman;mluvčí (muž)
spokesperson;mluvčí (neutrální)
spokeswoman;mluvčí (žena)
sponsor;sponzor
sponsorship;sponzorství
spot;místo, skvrna
spread;šířit
stable;stabilní
stage;jeviště, fáze
stall;stánek, zdržovat
stance;postoj
stand;stát, postavit
stare;zírat
starve;hladovět
status;stav, status
steadily;stabilně
steady;stabilní
steam;pára
steel;ocel
steep;strmý
step;krok, šlápnout
sticky;lepkavý
stiff;tuhý
stimulate;stimulovat
stock;zásoba, akcie
stream;proud, potok
strengthen;posílit
stretch;natáhnout, úsek
strict;přísný
strictly;přísně
strike;stávka, udeřit
striking;nápadný
stroke;mrtvice, tah
structure;struktura
struggle;boj, bojovat
stuff;věci, hmota
stunning;ohromující
subject;předmět, podrobit
submit;předložit
subsequent;následný
subsequently;následně
suburb;předměstí
suffering;utrpení
sufficient;dostatečný
sufficiently;dostatečně
sum;součet
super;super
surgeon;chirurg
surgery;chirurgie, operace
surround;obklopit
surrounding;okolní
survey;průzkum
survival;přežití
survivor;přeživší
suspect;podezřelý, podezřívat
suspend;pozastavit
sustainable;udržitelný
swallow;polknout, vlaštovka
swear;přísahat, nadávat
sweep;zametat
switch;přepínač, přepnout
sympathetic;soucitný
sympathy;soucit
tag;štítek, označit
tale;příběh
tank;nádrž, tank
tap;kohoutek, poklepat
target;cíl
tear;slza, trhat
technological;technologický
teen;teenager
temple;chrám, spánek (část hlavy)
temporarily;dočasně
temporary;dočasný
tendency;tendence
tension;napětí
term;termín, pojem
terminal;terminál, konečný
terms;podmínky, pojmy
terribly;hrozně
terrify;vyděsit
territory;území
terror;teror
terrorism;terorismus
terrorist;terorista
testing;testování
textbook;učebnice
theft;krádež
therapist;terapeut
therapy;terapie
thesis;diplomová/disertační práce
thorough;důkladný
thoroughly;důkladně
threat;hrozba
threaten;hrozit
thumb;palec (ruky)
thus;takto, tudíž
time;čas
timing;načasování
tissue;tkáň, papírový kapesník
title;titul
tone;tón
tough;tvrdý, drsný
tournament;turnaj
trace;stopa, sledovat
track;stopa, dráha
trading;obchodování
tragedy;tragédie
tragic;tragický
trait;rys, vlastnost
transfer;převod, přenést
transform;transformovat
transition;přechod
transmit;přenášet
trap;past
treasure;poklad
trial;zkouška, soud
tribe;kmen
trigger;spoušť, spustit
trillion;bilion (americký)
trip;výlet, zakopnout
troop;oddíl, vojsko
tropical;tropický
trouble;potíž
truly;skutečně
trust;důvěra, věřit
try;zkusit
tsunami;tsunami
tune;melodie, naladit
tunnel;tunel
ultimate;konečný, nejzazší
ultimately;nakonec
unacceptable;nepřijatelný
uncertainty;nejistota
unconscious;v bezvědomí
undergo;podstoupit
undertake;podniknout, zavázat se
unexpected;neočekávaný
unfold;rozvinout
unfortunate;nešťastný
unique;unikátní
unite;sjednotit
unity;jednota
universal;univerzální
universe;vesmír
unknown;neznámý
upper;horní
upwards;nahoru
urban;městský
urge;nutkání, naléhat
urgent;naléhavý
usage;použití
useless;zbytečný
valid;platný
value;hodnota
variation;variace
vary;lišit se, měnit se
vast;obrovský
venue;místo konání
vertical;vertikální
very;velmi
via;přes, prostřednictvím
victory;vítězství
viewpoint;hledisko
violence;násilí
virtual;virtuální
visa;vízum
visible;viditelný
vision;vize, zrak
visual;vizuální
vital;vitální, zásadní
vitamin;vitamín
volume;objem, hlasitost
voluntary;dobrovolný
voting;hlasování
wage;mzda
wander;toulat se
warming;oteplování
way;cesta, způsob
weakness;slabost
wealth;bohatství
wealthy;bohatý
weekly;týdenní
weird;divný
welfare;blahobyt, sociální péče
wheat;pšenice
whereas;zatímco
wherever;kdekoli
whisper;šeptat
whoever;kdokoli
whom;koho
widely;široce
widespread;rozšířený
wildlife;divoká zvěř
willing;ochotný
wind;vítr, vinout se
wire;drát
wisdom;moudrost
wise;moudrý
withdraw;stáhnout
witness;svědek
wolf;vlk
workforce;pracovní síla
workplace;pracoviště
workshop;dílna
worm;červ
worse;horší
worst;nejhorší
worth;hodnota, stojí za
wound;rána, zranit
wrap;zabalit
wrist;zápěstí
wrong;špatný
yet;ještě, přesto
zone;zóna
