Anglicky;Česky
dexterous;zručný, obratný
diaphanous;průsvitný, jemný
diatribe;slovní útok, kritika
didactic;didaktický, poučný
diffident;ostýchavý, nesmělý
dilatory;zdlouhavý, liknavý
diligently;pilně, svědomitě
dingy;špinavý, zašlý
discern;rozeznat, postřehnout
disciple;učedník, žák
discordant;nesouladný, nelibozvučný
discrepancy;rozpor, neshoda
disdain;pohrdání
disaffection;nespokojenost, odcizení
dishevelled;rozcuchaný, neupravený
disillusionment;rozčarování
disinterested;nestranný, nezaujatý
disjointed;nesouvislý, roztržitý
dismay;zděšení, úlek
disparage;znevažovat, podceňovat
dispassionate;nezaujatý, klidný
dispense;rozdávat, prominout
disregard;ignorovat, nebrat v úvahu
disseminate;šířit, rozšiřovat
dissertation;disertační práce
dissolution;rozpuštění, zánik
dissonance;nesoulad, disonance
dogged;urputný, neústupný
dogmatic;dogmatický, neústupný
domicile;bydliště, domov
dormant;nečinný, spící
drawback;nevýhoda, nedostatek
dubious;pochybný, nejistý
duplicity;obojakost, falešnost
dwindle;zmenšovat se, ubývat
dynasty;dynastie
ebullient;překypující energií
eccentric;výstřední
eclectic;eklektický, různorodý
efficacious;účinný
effusive;překypující (city), vřelý
egregious;nehorázný, do očí bijící
elated;nadšený, povznesený
elicit;vyvolat, zjistit
eloquent;výmluvný
elucidate;objasnit, vysvětlit
elusive;nepostižitelný, prchavý
emaciated;vyhublý
embellish;zkrášlit, přikrášlit
embroil;zaplést, zatáhnout (do sporu)
emulate;napodobit, vyrovnat se
endemic;endemický, místní
enervate;oslabit, vyčerpat
engender;zplodit, vyvolat
enigma;záhada
enigmatic;záhadný
enmity;nepřátelství
enthrall;uchvátit, okouzlit
enticing;lákavý, svůdný
ephemeral;pomíjivý, krátkodobý
epitome;ztělesnění, typický příklad
epitomise;ztělesňovat
epoch;epocha
equanimity;vyrovnanost, klid
equivocal;dvojsmyslný, nejednoznačný
erotic;erotický
err;chybovat
erstwhile;bývalý, někdejší
erudite;vzdělaný, sečtělý
eschew;vyvarovat se, stranit se
escort;doprovod, eskortovat
esoteric;esoterický, tajný
esteem;úcta, vážit si
euphemism;eufemismus
evanescent;prchavý, mizivý
exacerbate;zhoršit, vyhrotit
exacting;náročný
exalt;velebit, povýšit
excoriate;strhat (kritikou), odřít kůži
excruciating;nesnesitelný, mučivý
execrable;odporný, mizerný
exemplify;být příkladem, doložit
exonerate;očistit, zprostit viny
exquisite;vynikající, nádherný
expedite;urychlit
extol;vychvalovat
extraneous;vnější, nepodstatný
exuberant;bujný, překypující
fabricate;vykonstruovat, vyrobit
facetious;žertovný, nemístně vtipný
fallacious;klamný, mylný
farcical;fraškovitý, směšný
fastidious;puntičkářský, náročný
fawn over;podlézat, lísat se
feisty;kurážný, bojovný
ferocious;divoký, zuřivý
ferret out;vyslizdit, vypátrat
fervent;vroucí, horlivý
fervid;zanícený, vášnivý
fickle;nestálý, přelétavý
flagrant;donebevolající, zjevný
flaunt;dávat na odiv, chlubit se
fleeting;prchavý, letmý
flimsy;křehký, chatrný
foment;podněcovat, rozdmýchávat
forbearance;shovívavost, trpělivost
foresee;předvídat
forestall;předejít, zabránit
forlorn;opuštěný, zoufalý
formidable;impozantní, hrozivý
fortuitous;náhodný, šťastný
fraught;plný (čeho), napjatý
fraudulent;podvodný
frenetic;zběsilý, frenetický
frenzy;šílenství, záchvat zuřivosti
fretful;nevrlý, podrážděný
frivolous;lehkovážný, povrchní
frugal;šetrný, střídmý
furtive;kradmý, nenápadný
futile;marný, zbytečný
galvanize;vyburcovat, galvanizovat
garish;nevkusný, křiklavý
garner;získat, shromáždit
garrulous;upovídaný
gauche;neohrabaný, společensky neobratný
genial;vlídný, přívětivý
genuflect;pokleknout
germane;relevantní, podstatný
gingerly;opatrně
glib;mnohomluvný, povrchní
gratuitous;bezdůvodný, zbytečný
gravitas;vážnost, důstojnost
gregarious;družný, společenský
gruelling;vyčerpávající
gullible;důvěřivý, naivní
hackneyed;otřepaný, banální
hailed;oslavovaný, vítaný
haphazard;nahodilý, chaotický
harangue;kázat, řečnit
harbinger;zvěstovatel, předzvěst
harness;využít, postroj
hasten;uspíšit, spěchat
hedonistic;požitkářský
heinous;ohavný, krutý
henceforth;od nynějška
heretical;kacířský
histrionic;teatrální, afektovaný
homogeneous;homogenní, stejnorodý
hyperbole;nadsázka, hyperbola
hypocrisy;pokrytectví
hypothetical;hypotetický
iconoclast;obrazoborec, buřič
idiosyncratic;osobitý, svérázný
idyllic;idylický
ignominious;potupný, hanebný
ignorant;neznalý, nevzdělaný
ill-advised;neuvážený
illicit;nezákonný, zakázaný
immeasurably;nesmírně
immaculate;neposkvrněný, bezchybný
impasse;slepá ulička, patová situace
impassive;lhostejný, bezvýrazný
immortal;nesmrtelný
immutable;neměnný
impartial;nestranný
impeccable;bezchybný, dokonalý
impede;bránit, překážet
imperative;nezbytný, rozkazovací
imperceptibly;nepozorovaně
imperialism;imperialismus
imperil;ohrozit
imperious;panovačný
impertinent;drzý, nemístný
imperturbable;klidný, nevzrušivý
impervious;nepropustný, odolný
impetuous;zbrklý, prudký
implausible;nevěrohodný
impracticable;neproveditelný
impregnable;nedobytný
impromptu;improvizovaný
inadequacies;nedostatky
inadvertent;neúmyslný, bezděčný
inane;hloupý, prázdný
inaugurate;zahájit, uvést do úřadu
incendiary;pobuiřující, zápalný
incessant;neustálý
incisive;bystrý, trefný
incite;podněcovat, navádět
inclement;nevlídný (počasí)
inclination;sklon, tendence
inclusive;zahrnující, inkluzivní
inconceivable;nepředstavitelný
incomprehensible;nechápající, nesrozumitelný
incongruous;neslučitelný, nevhodný
incontrovertible;nezvratný, nepopiratelný
incorrigible;nenapravitelný
incredulous;nevěřící, nedůvěřivý
indefatigable;neúnavný
indelible;nesmazatelný
indemnify;odškodnit
indifference;lhostejnost
indifferent;lhostejný
indignant;rozhořčený
indolent;líný
indomitable;nezdolný
induction;uvedení, indukce
indulgent;shovívavý
industrious;pracovitý, pilný
ineffable;nevýslovný, nepopsatelný
inept;neschopný, nešikovný
inexhaustible;nevyčerpatelný
inexorable;neúprosný, nezadržitelný
infallible;neomylný
inflammatory;zánětlivý, pobuřující
ingenuity;vynalézavost, důvtip
ingenious;důmyslný, geniální
ingenuous;prostý, upřímný
ingrained;hluboce zakořeněný
inhospitable;nepohostinný
inimical;nepřátelský, škodlivý
iniquitous;nespravedlivý, hanebný
innocuous;neškodný
innumerable;nespočetný
insatiable;nenasytný
inscrutable;nevyzpytatelný
insidious;zákeřný, záludný
insipid;mdlý, bez chuti
insolent;drzý, nestydatý
insoluble;nerozpustný, neřešitelný
instigate;podnítit, vyprovokovat
insurmountable;nepřekonatelný
inter alia;mimo jiné
internecine;vražedný, vzájemně ničivý
intransigent;nekompromisní, neústupný
intrepid;neohrožený
intrinsic;vnitřní, vrozený
intrusive;vtíravý, rušivý
intuition;intuice
inundate;zavalit, zaplavit
invasive;invazivní
invective;nadávky, výpady
irascible;vznětlivý, podrážděný
irk;štvát, dráždit
irreproachable;bezúhonný
irreverent;neuctivý
itinerant;putující, kočovný
jaded;zblasený, unavený životem
jeopardise;ohrozit
jocular;žertovný
judicious;rozumný, uvážlivý
juxtapose;postavit vedle sebe
kindle;rozžehnout, podnítit
lackadaisical;lhostejný, bez zájmu
lacklustre;nevýrazný, matný
laconic;stručný, lakonický
lambaste;zkritizovat, ztepat
lament;naříkat, bědovat
languid;malátný, líný
latent;skrytý
laud;chválit, velebit
laudable;chvályhodný
leery of;ostražitý před, nedůvěřivý k
lenient;shovívavý, mírný
lethargic;letargický, ospalý
level-headed;rozvážný, vyrovnaný
levity;lehkovážnost
levy;vyměřit (daň), odvod
liability;odpovědnost, závazek
licentious;prostopášný, nemravný
liquidate;zlikvidovat, splatit
liquidation;likvidace
loquacious;upovídaný
lucid;jasný, srozumitelný
ludicrous;směšný, absurdní
lugubrious;truchlivý, ponurý
lukewarm;vlažný
luminous;zářící, svítící
luxuriant;bujný, přepychový
madcap;zbrklý,třeštiprdlo
magnanimous;velkorysý
malevolent;zlomyslný
malleable;tvárný, poddajný
malodorous;zapáchající
maudlin;uplakaný, sentimentální
meagre;nepatrný, skrovný
menacing;hrozivý
meticulous;pečlivý, puntičkářský
misanthrope;mizantrop
mischievous;nezbedný, uličnický
mismanagement;špatné hospodaření
mitigate;zmírnit
mollify;uklidnit, uchlácholit
moniker;přezdívka, jméno
morose;mrzutý, nevrlý
mortal;smrtelný
mortifying;ponižující
muffle;tlumit, ztišit
multitude;množství, zástup
mundane;všední, obyčejný
mutable;proměnlivý
myopic;krátkozraký
myriad;nespočetný, myriáda
nag;hubovat, rýpat
naive;naivní
nascent;vznikající, rodící se
nebulous;mlhavý, nejasný
nefarious;hanebný, podlý
nemesis;odplata, osudový soupeř
neophyte;nováček, začátečník
nonchalant;ležérní, nenucený
nostalgia;nostalgie
noxious;škodlivý, jedovatý
nuance;odstín, nuance
obdurate;zatvrzelý
obfuscate;zamlžit, zmást
obligatory;povinný
obliterate;vymazat, zničit
obscure;nejasný, zatemnit
obsequious;podlézavý
observance;dodržování
obsolete;zastaralý
obstinate;tvrdohlavý
obtuse;tupý, natvrdlý
obviate;předejít, odstranit (potřebu)
ominous;zlověstný
omission;vynechání, opomenutí
onerous;tíživý, obtížný
onset;nástup, počátek
opaque;neprůhledný
opportunistic;oportunistický
opulent;přepychový, opulentní
ordinance;vyhláška, nařízení
ornate;zdobný, květnatý
ostensible;zdánlivý
ostentatious;okázalý
outweighs;převažuje
overweening;namyšlený, přehnaný
pacify;uklidnit, pacifikovat
painstaking;důkladný, pečlivý
palatable;chutný, přijatelný
palatial;palácový, honosný
palliate;zmírnit (bolest), omlouvat
palpable;hmatatelný, zřejmý
pamper;rozmazlovat
panacea;všelék
panegyric;chvalozpěv
paradigm;paradigma, vzor
paragon;vzor, ztělesnění (ctnosti)
paramount;nejvyšší, prvořadý
parochial;omezený, farní
parsimonious;skoupý, šetrný
partisan;stranický, přívrženec
patently;zjevně
pathos;patos, dojetí
paucity;nedostatek
pave the way;připravit cestu
pedantic;pedantický
peevish;nevrlý, mrzutý
penchant;záliba, sklon
pending;nevyřízený, čekající
penitent;kající se
pensive;zamyšlený
perennial;trvalý, celoroční
perfidious;zrádný, věrolomný
perfunctory;povrchní, lhostejný
perilous;nebezpečný
permeate;proniknout, prostoupit
pernicious;zhoubný, škodlivý
perpetrator;pachatel
perpetual;věčný, neustálý
persecute;pronásledovat
perturbed;znepokojený
pervasive;všudypřítomný, pronikavý
pervert;překroutit, zvrhlík
pessimistic;pesimistický
petulant;nedůtklivý, urážlivý
philanthropic;filantropický, dobročinný
phlegmatic;flegmatický
piety;zbožnost
pinnacle;vrchol
pioneering;průkopnický
pithy;jadrný, stručný a výstižný
pious;zbožný
placate;uklidnit, usmířit
placid;klidný, tichý
plasticity;tvárnost, plasticita
platitude;otřepaná fráze
plausible;věrohodný
plight;těžká situace, úděl
poignant;dojemný, břitký
pompous;nabubřelý, pompézní
ponder;zvažovat, přemýšlet
ponderous;těžkopádný
posthumous;posmrtný
precarious;nejistý, ošemetný
precipitate;uspíšit, srážet
preclude;vyloučit, znemožnit
precocious;předčasně vyspělý
predilection;záliba, náklonnost
predominance;převaha
preeminent;vynikající, přední
preposterous;nesmyslný, absurdní
prerequisite;předpoklad, nutná podmínka
presumptuous;drzý, opovážlivý
pretentious;domýšlivý, okázalý
prevalent;převládající, běžný
prevaricate;mlžit, vytáčet se
pristine;nedotčený, bezvadný
probity;poctivost, bezúhonnost
proclivity;sklon, náchylnost
procrastinate;otálet, odkládat
procurement;pořizování, nákup
prodigal;marnotratný
prodigious;ohromný, úžasný
profane;znesvětit, světský
profess;prohlašovat, vyznávat
profligate;hýřivý, marnotratný
prohibitive;nedostupný (cenou), zakazující
proliferation;šíření, rozrůstání
propensity;sklon, náchylnost
propitious;příznivý
propriety;vhodnost, slušnost
prosaic;všední, prozaický
protagonist;hlavní hrdina
protract;protahovat
proven;prokázaný, osvědčený
prudent;opatrný, prozíravý
puerile;dětinský
pugnacious;hádavý, bojovný
punctilious;puntičkářský
pungent;štiplavý, pronikavý
pusillanimous;zbabělý, malomyslný
quaint;rázovitý, starosvětský
quandary;rozpaky, dilema
quell;potlačit, utišit
querulous;stěžující si, kverulantský
quiescent;klidný, nečinný
quintessential;typický, podstatný
quixotic;donkichotský, bláhový
rambunctious;divoký, nespoutaný
rancour;zášť, nenávist
rapacious;dravý, chamtivý
rapport;vzájemné porozumění
ratify;ratifikovat, schválit
raucous;chraplavý, drsný
rebuke;pokárat
recalcitrant;vzpurný, nepoddajný
recant;odvolat (tvrzení)
reciprocal;vzájemný
reclusive;samotářský
reconcile;smířit, sladit
recondite;nesrozumitelný, skrytý
redress;náprava, odškodnění
refute;vyvrátit
relegate;odsunout, degradovat
relinquish;vzdát se, zanechat
reminiscent;připomínající
remiss;nedbalý
remit;polevovat, odpustit
remorse;výčitky svědomí
renounce;zříci se
replete;plný, nasycený
reprehensible;zavrženíhodný
reprieve;odklad, milost
reprimand;pokárat, důtka
reproach;vyčítat, výčitka
repudiate;zavrhnout, popřít
repugnant;odporný, hnusný
rescind;zrušit, anulovat
residual;zbytkový
resilient;odolný, pružný
resolute;rozhodný
resolutely;rozhodně
resplendent;zářící, skvostný
reticent;málomluvný, rezervovaný
retract;odvolat, zatáhnout
reverent;uctivý
reverential;plný úcty
revoke;odvolat, zrušit
rigour;přísnost, důkladnost
rigorous;přísný, důkladný
ruse;lst, úskok
rupture;prasknutí, roztržka
safeguard;zabezpečit, pojistka
sagacious;prozíravý, moudrý
salubrious;zdravý, prospěšný
salient;význačný, nápadný
sanctimonious;svatouškovský
sanguine;sangvinický, optimistický
sardonic;sardonický, jízlivý
saviour;zachránce
scrupulous;svědomitý, úzkostlivý
scrutinize;zkoumat, prohlížet
sedulous;pilný, vytrvalý
sedentary;sedavý
seminal;průkopnický, zásadní
serenity;klid, vyrovnanost
servile;servilní, patolízalský
shoddy;nekvalitní, odfláknutý
shrouded;zahalený
singular;jedinečný, singulár
slander;pomluva
snooty;namyšlený
sojourn;pobyt, prodlévat
solemn;vážný, slavnostní
solicitous;starostlivý
solitary;osamělý
solitude;samota
sombre;temný, pochmurný
sophisticated;sofistikovaný, kultivovaný
sow;sít, rozsévat
specious;klamný, zdánlivě správný
spurious;falešný, nepravý
squalid;špinavý, ubohý
stagnant;stojatý, stagnující
staunch;věrný, oddaný
stately;vznešený, majestátní
stigma;stigma, znamení hanby
stipulate;stanovit, smluvně zajistit
stoic;stoický
strident;pronikavý, ostrý
stringent;přísný, tvrdý
subdue;podmanit, potlačit
sublime;vznešený, úžasný
subordinate;podřízený
substantiate;doložit, opodstatnit
subvert;rozvracet
subversive;podvratný
succinct;stručný, jadrný
sullen;mrzutý, zamračený
superficial;povrchní
superfluous;nadbytečný
supple;pružný, ohebný
surpass;překonat
surreptitious;tajný, kradmý
susceptible;náchylný, vnímavý
sustainability;udržitelnost
sycophant;patolízal
symbiosis;symbióza
symbolise;symbolizovat
tacit;tichý, mlčky předpokládaný
taciturn;mlčenlivý
tact;takt
tangible;hmatatelný
tawdry;laciný, nevkusný
tedious;nudný, zdlouhavý
temerity;opovážlivost
tempestuous;bouřlivý
temporal;časový, dočasný
tenacious;houževnatý
tenet;zásada, princip
terse;strohý, úsečný
testament;závěť, svědectví
testimonial;doporučení, osvědčení
theologian;teolog
timorous;bázlivý
torment;trápit, muka
torpid;otupělý, malátný
torrid;parný, vášnivý
totalitarian;totalitní
tractable;tvárný, ovladatelný
traitor;zrádce
tranquil;klidný
transcribe;přepsat
transient;přechodný, pomíjivý
treacherous;zrádný, nebezpečný
treatise;pojednání
trite;otřepaný
truculent;agresivní, divoký
turpitude;nízkost, hanebnost
ubiquitous;všudypřítomný
unanimous;jednomyslný
unctuous;úlisný, mastný
unenviable;nezáviděníhodný
unequivocal;jednoznačný
unfathomable;nepochopitelný, bezedný
unpalatable;nechutný, nepříjemný
unpretentious;skromný, nenáročný
unrivalled;bezkonkurenční
unruly;neposlušný, vzpurný
unsullied;neposkvrněný
unthinkable;nemyslitelný
untrodden;neprošlapaný
unwieldy;těžkopádný, neskladný
uprising;povstání
uproarious;křičící, bouřlivý
utmost;nejvyšší, maximální
utopia;utopie
vacillate;kolísat, váhat
vain;marný, domýšlivý
validate;ověřit, potvrdit
vanquished;poražený
vapid;mdlý, bezduchý
variegated;pestrobarevný
venerable;ctihodný
verdant;zelený, svěží
verification;ověření
verve;elán, verva
vestiges;pozůstatky, stopy
veto;veto, zakázat
vexatious;otravný, mrzutý
vicinity;blízkost, okolí
victorious;vítězný
vile;odporný, podlý
vivacious;živý, temperamentní
vituperate;nadávat, spílat
void;neplatný, prázdnota
voluntarily;dobrovolně
wager;sázka, vsadit si
wayward;neovladatelný, vzpurný
wheedling;lichocení, loudění
whimsical;rozmarný, náladový
withstand;odolat, vydržet
wizened;vrásčitý, scvrklý
wretched;ubohý, mizerný
wrinkle;vráska
wrongdoing;provinění
zeal;horlivost, zápal
zealous;horlivý, nadšený
