English;Czech
predict;předpovídat
present;dárek, přítomný
president;prezident
prevent;zabránit
print;tisknout
printer;tiskárna
prison;vězení
prize;cena, odměna
process;proces
produce;produkovat, vyrábět
professional;profesionální
professor;profesor
profile;profil
program;program
progress;pokrok
promise;slib, slíbit
pronounce;vyslovit
protect;chránit
provide;poskytnout
pub;hospoda
public;veřejný
publish;publikovat, vydat
pull;táhnout
purpose;účel, záměr
push;tlačit
quality;kvalita
quantity;množství
queen;královna
question;otázka
quietly;tiše
race (run);závod (běh), rasa
railway;železnice
raise;zvýšit, vychovávat
rate;míra, rychlost
rather;spíše, raději
reach;dosáhnout, dojet
react;reagovat
realize;uvědomit si
receive;přijmout, obdržet
recent;nedávný
recently;nedávno
reception;recepce, příjem
recipe;recept
recognise;poznat, uznat
recommend;doporučit
record;záznam, nahrávka, zaznamenat
recording;nahrávání, nahrávka
recycle;recyklovat
reduce;snížit
refer;odkazovat, týkat se
refuse;odmítnout
region;region, oblast
regular;pravidelný
relationship;vztah
remove;odstranit
repair;opravit, oprava
replace;nahradit
reply;odpověď, odpovědět
report;zpráva, hlásit
reporter;reportér
request;žádost, požádat
research;výzkum, zkoumat
researcher;výzkumník
respond;reagovat
response;reakce, odpověď
rest;odpočinek, zbytek
review;recenze, přezkoumat
ride;jízda, jet (na)
ring;prsten
ring;zvonit, zazvonit
rise;vystoupat, vzestup
rock;skála, rock (hudba)
role;role
roof;střecha
round;kulatý, kolem
route;trasa, cesta
rubbish;odpadky, nesmysl
rude;hrubý, nezdvořilý
run;běhat, chodit (o stroji)
runner;běžec
running;běh, běhání
sadly;smutně
safe;bezpečný
sail;plout, plachta
sailing;plachtění
salary;plat
sale;prodej, výprodej
sauce;omáčka
save;zachránit, šetřit
scared;vystrašený
scary;děsivý
scene;scéna, pohled
schedule;rozvrh, plán
score;skóre, bodovat
screen;obrazovka, plátno
search;hledat, hledání
season;roční období, sezóna
seat;sedadlo
second (next);druhý, další
secondly;za druhé
secret;tajemství, tajný
secretary;sekretář/ka
seem;zdát se
sense;smysl
separate;oddělený, oddělit
series;série
serious;vážný
serve;sloužit, podávat
service;služba
several;několik
shake;třást, potřást
shall;měl by (navrhování)
shape;tvar
sheet;list, prostěradlo
ship;loď
shoulder;rameno
shout;křičet
shut;zavřít
side;strana
sign;podepsat, značka
silver;stříbro, stříbrný
simple;jednoduchý
since;od (doby), protože
singing;zpěv
single;jednotlivý, svobodný
sir;pane
site;místo, stránka
size;velikost
ski;lyžovat, lyže
skiing;lyžování
skin;kůže, pleť
sky;obloha
sleep;spánek, spát
slowly;pomalu
smartphone;chytrý telefon
smell;čich, vonět, cítit
smile;úsměv, usmívat se
smoke;kouřit, kouř
smoking;kouření
soap;mýdlo
soccer;fotbal (US)
social;sociální
society;společnost
sock;ponožka
soft;měkký
soldier;voják
solution;řešení
solve;vyřešit
somewhere;někde, někam
sort;druh, třídit
source;zdroj
speaker;řečník, reproduktor
specific;specifický
speech;řeč, projev
speed;rychlost
spider;pavouk
spoon;lžíce
square;čtverec, náměstí
stage;fáze, jeviště
stair;schody (jednotlivý stupeň)
stamp;známka, razítko
star;hvězda, hrát (v roli)
start;začít, start
state;stát, stav, uvést
stay;zůstat, pobyt
steal;ukrást
step;krok, šlápnout
stomach;žaludek, břicho
stone;kámen
store;obchod, skladovat
storm;bouře
straight;rovný, přímo
strange;divný, cizí
strategy;strategie
stress;stres
structure;struktura
stupid;hloupý
succeed;uspět
successful;úspěšný
such;takový
suddenly;náhle
suggest;navrhnout
suggestion;návrh
suit;oblek, hodit se
support;podpora, podporovat
suppose;předpokládat
sure;jistý, jistě
surprise;překvapení, překvapit
surprised;překvapený
surprising;překvapivý
survey;průzkum
sweet;sladký, bonbón
symbol;symbol
system;systém
tablet;tablet, deska
talk;mluvit, hovor
target;cíl, zaměřit se
task;úkol
taste;chuť, ochutnat
teaching;výuka, učení
technology;technologie
teenage;náctiletý
temperature;teplota
term;termín, období
text;text, poslat zprávu
themselves;sami (oni/ony/ona)
thick;tlustý
thief;zloděj
thin;hubený, tenký
thinking;myšlení
third;třetí
thought;myšlenka
throw;hodit
tidy;uklizený, uklidit
tie;kravata, svázat
tip;spropitné, tip, špička
tool;nástroj
top;vrchol, horní
touch;dotknout se, dotek
tour;turné, prohlídka
tourism;cestovní ruch, turismus
towards;směrem k
towel;ručník
tower;věž
toy;hračka
track;stopa, dráha, sledovat
tradition;tradice
traditional;tradiční
train;vlak, trénovat
trainer;trenér, sportovní obuv
training;trénink, školení
transport;doprava
traveller;cestovatel
trouble;problém, potíž
truck;nákladní auto
twin;dvojče
typical;typický
underground;podzemní, metro
understanding;porozumění
unfortunately;bohužel
unhappy;nešťastný
uniform;uniforma
unit;jednotka
united;spojený
unusual;neobvyklý
upstairs;nahoře, po schodech nahoru
use;používat, použití
used to;dříve (dělával)
user;uživatel
usual;obvyklý
valley;údolí
van;dodávka
variety;rozmanitost, odrůda
vehicle;vozidlo
view;pohled, názor
virus;virus
voice;hlas
wait;čekat, číšník
war;válka
wash;umýt, mýt
washing;praní, mytí
wave;vlna, mávat
weak;slabý
web;web, síť
wedding;svatba
weight;váha
welcome;vítaný, přivítat
wet;mokrý
wheel;kolo
while;zatímco, chvíle
whole;celý
whose;čí
wide;široký
wild;divoký
wind;vítr
winner;vítěz
wish;přání, přát si
wood;dřevo, les
wooden;dřevěný
working;pracovní, pracující
worried;znepokojený
worry;starost, obávat se
worse;horší
worst;nejhorší
wow;páni, wow
yet;ještě, už (v záporu/otázce)
yours;tvůj/váš (zájmeno)
zero;nula
