English;Czech
hate;nenávist, nenávidět
head;vedoucí, hlava
headline;titulek
heating;topení
heavily;těžce, hustě
helicopter;vrtulník
highlight;zdůraznit, nejlepší moment
highly;vysoce
hire;najmout (si)
historic;historický (významný)
historical;historický (týkající se historie)
honest;čestný
horrible;hrozný, děsný
horror;hrůza, horor
host;hostitel
hunt;lovit, lov
hurricane;hurikán
hurry;spěchat, spěch
identity;identita, totožnost
ignore;ignorovat, nevšímat si
illegal;ilegální, nezákonný
imaginary;imaginární, smyšlený
immediate;okamžitý
immigrant;imigrant, přistěhovalec
impact;dopad, vliv
import;dovoz, dovážet
importance;důležitost
impression;dojem
impressive;působivý
improvement;zlepšení
incredibly;neuvěřitelně
indeed;opravdu, vskutku
indicate;naznačovat, ukazovat
indirect;nepřímý
indoor;vnitřní
indoors;uvnitř, v budově
influence;vliv, ovlivnit
ingredient;přísada, ingredience
injure;zranit
injured;zraněný
innocent;nevinný
intelligence;inteligence
intend;zamýšlet, mít v úmyslu
intention;úmysl, záměr
invest;investovat
investigate;vyšetřovat
involved;zapojený, zahrnutý
iron;žehlička, železo, žehlit
issue;problém, vydání, vydat
IT;IT (informační technologie)
journal;časopis, deník
judge;soudce, soudit
keen;nadšený, bystrý
key;klíčový
keyboard;klávesnice
kick;kopnout, kop
killing;zabíjení
kind (caring);laskavý, milý
kiss;polibek, políbit
knock;klepat
label;etiketa, označit
laboratory;laboratoř
lack;nedostatek, postrádat
latest;nejnovější
lay;položit, snášet (vejce)
layer;vrstva
lead;vést
leading;vedoucí
leaf;list (stromu)
leather;kůže, kožený
legal;právní, legální
leisure;volný čas
length;délka
level;úroveň
lie (tell a lie);lhát
limit;limit, omezit
lip;ret
liquid;kapalina
literature;literatura
live;žít, přímý přenos
living;žijící, obytný
local;místní
locate;najít, umístit
located;umístěný
location;lokace, umístění
lonely;osamělý
loss;ztráta
luxury;luxus
mad;šílený, naštvaný
magic;kouzlo, magický
mainly;hlavně
mall;nákupní centrum
management;řízení, management
market;trh, uvádět na trh
marketing;marketing
marriage;manželství
meanwhile;mezitím
measure;měřit, opatření
medium;střední
mental;mentální, duševní
mention;zmínit
mess;nepořádek
mild;mírný, jemný
mine (hole);důl
mix;smíchat, směs
mixture;směs
mood;nálada
move;hýbat se, krok
mud;bláto
murder;vražda, zavraždit
muscle;sval
musical;hudební, muzikál
mystery;záhada
nail;hřebík, nehet
narrative;vyprávění, narativ
nation;národ
native;rodný, domorodý
naturally;přirozeně
necessarily;nutně
need;potřebovat, potřeba
needle;jehla
neighbourhood;sousedství
neither;ani (jeden)
net;síť, čistý (zisk)
next;další, příští
nor;ani (ne)
normal;normální
northern;severní
note;poznámka, zaznamenat
nuclear;jaderný
obvious;očividný, zřejmý
obviously;očividně
occasion;příležitost
occur;nastat, vyskytnout se
odd;zvláštní, lichý
official;oficiální, úředník
old-fashioned;staromódní
once;jednou
operation;operace, provoz
organised;organizovaný
organiser;organizátor
original;originální
originally;původně
ought;měl by (stejné jako should)
ours;náš (zájmeno)
outdoor;venkovní
outdoors;venku
pack;balík, sbalit
package;balíček, balení
painful;bolestivý
pale;bledý
pan;pánev
participate;účastnit se
particularly;zejména, obzvláště
pass;projít, přihrát, průsmyk
passion;vášeň
path;stezka, cesta
payment;platba
peaceful;pokojný, mírumilovný
percentage;procento
perfectly;dokonale
performance;výkon, představení
personally;osobně
persuade;přesvědčit
photographer;fotograf
photography;fotografie (obor)
pin;špendlík, připnout
pipe;trubka, potrubí
place;místo
planning;plánování
pleasant;příjemný
pleasure;potěšení
plenty;spousta, hojnost
plot;zápletka, spiknutí
plus;plus
poem;báseň
poet;básník
poetry;poezie
point;bod, poukázat
poison;jed
poisonous;jedovatý
policy;politika, zásada
political;politický
politician;politik
politics;politika (obor)
port;přístav
portrait;portrét
possibly;možná
pot;hrnec, květináč
pour;nalít
poverty;chudoba
powder;prášek, pudr
powerful;mocný, silný
practical;praktický
pray;modlit se
prayer;modlitba
prediction;předpověď
prepared;připravený
presentation;prezentace
press;tisk, tisknout, stisknout
pressure;tlak
pretend;předstírat
previous;předchozí
previously;předtím
priest;kněz
primary;primární, hlavní
prince;princ
princess;princezna
printing;tisk
prisoner;vězeň
private;soukromý
producer;producent
production;výroba, produkce
profession;profese
profit;zisk
programme;program
promote;propagovat, povýšit
proper;řádný, správný
properly;řádně, správně
property;majetek, nemovitost
protest;protest, protestovat
proud;pyšný
prove;dokázat
pull;táhnout
punish;potrestat
punishment;trest
push;tlačit
qualification;kvalifikace
qualified;kvalifikovaný
qualify;kvalifikovat se
queue;fronta, stát ve frontě
quit;odejít, skončit
quotation;citát, nabídka
quote;citovat
race (people);rasa, etnikum
racing;závodění
range;rozsah, řada
rare;vzácný
rarely;zřídka
reaction;reakce
reality;realita
receipt;účtenka, příjem
recommendation;doporučení
reference;odkaz, reference
reflect;odrážet
regularly;pravidelně
reject;odmítnout
relate;souviset, vztahovat se
related;související, příbuzný
relation;vztah, příbuzný
relative;příbuzný, relativní
relaxed;uvolněný
relaxing;relaxační, odpočinkový
release;uvolnit, vydat
reliable;spolehlivý
religion;náboženství
religious;náboženský
remain;zůstat
remind;připomenout
remote;vzdálený
rent;nájem, pronajmout
repair;opravit, oprava
repeat;opakovat
repeated;opakovaný
represent;reprezentovat, zastupovat
request;žádost, požádat
require;vyžadovat
reservation;rezervace
resource;zdroj
respect;respekt, respektovat
responsibility;odpovědnost
responsible;zodpovědný
result;výsledek
retire;odejít do důchodu
retired;v důchodu
revise;opakovat si (látku), revidovat
ring;zvonit, prsten
rise;stoupat, vzestup
risk;riziko
robot;robot
roll;valit se, rohlík, seznam
romantic;romantický
rope;lano
rough;drsný, hrubý
row;řada, veslovat, hádka
royal;královský
rugby;ragby
rule;pravidlo, vládnout
safety;bezpečnost
sail;plachtit
sailor;námořník
sample;vzorek
sand;písek
scan;skenovat, sken
scientific;vědecký
script;scénář, písmo
sculpture;socha, sochařství
secondary;sekundární, střední (škola)
security;bezpečnost, jistota
seed;semeno, semínko
sensible;rozumný, citlivý
separate;oddělený, oddělit
seriously;vážně
servant;sluha
set (put);nastavit, položit, souprava
set (group);sada, soubor
setting;prostředí, nastavení
sex;pohlaví, sex
sexual;sexuální
shake;třást, potřást
share;sdílet, podíl
sharp;ostrý
shelf;police
shell;mušle, skořápka, granát
shift;směna, posun
shine;svítit, lesknout se
shiny;lesklý
shoot;střílet, natáčet
shy;plachý, stydlivý
sight;pohled, zrak
signal;signál
silent;tichý
silly;hloupý
similarity;podobnost
similarly;podobně
simply;jednoduše
since;od (doby), protože
sink;potopit se, dřez
slice;plátek
slightly;mírně, lehce
slow;pomalý
smart;chytrý, elegantní
smooth;hladký, plynulý
software;software
soil;půda, zemina
solid;pevný, tuhý
sort;druh, třídit
southern;jižní
specifically;konkrétně
spending;utrácení, výdaje
spicy;kořeněný, pikantní
spirit;duch, nálada
spoken;mluvený
spot;místo, skvrna, zahlédnout
spread;šířit, rozšířit
spring;jaro, pramen, pružina
stadium;stadion
staff;personál, zaměstnanci
standard;standard, norma
state;stát, uvést, stav
statistic;statistika
statue;socha
stick (attach);přilepit
stick (piece of wood);klacek, hůl
still;stále, ještě
store;obchod, skladovat
stranger;cizinec
strength;síla
string;provázek, struna
strongly;silně
studio;studio
stuff;věci, hmota
substance;látka, substance
successfully;úspěšně
sudden;náhlý
suffer;trpět
suit;oblek, hodit se
suitable;vhodný
summarise;shrnout
summary;shrnutí
supply;zásoba, dodávat
supporter;podporovatel, fanoušek
surely;jistě, určitě
surface;povrch
survive;přežít
swim;plavat
switch;vypínač, přepnout
symptom;příznak, symptom
tail;ocas
talent;talent
talented;talentovaný
tape;páska, nahrát
tax;daň
technical;technický
technique;technika
tend;mít tendenci, starat se
tent;stan
that;že, ten, ta, to
theirs;jejich (zájmeno)
theme;téma
theory;teorie
therefore;proto, tudíž
this;tento, tato, toto
though;i když, ačkoliv
throat;krk, hrdlo
throughout;v průběhu, po celou dobu
tight;těsný, pevný
till;do (doby)
tin;plechovka, cín
tiny;malinký, drobný
tip;spropitné, špička, tip
toe;prst u nohy
tongue;jazyk
total;celkový, součet
totally;úplně, zcela
touch;dotek, dotknout se
tour;prohlídka, cestovat
trade;obchod, obchodovat
translate;přeložit
translation;překlad
transport;dopravit, doprava
treat;zacházet, léčit
treatment;léčba, zacházení
trend;trend, směr
trick;trik, podvod
truth;pravda
tube;trubka, tuba, metro (UK)
type;typ, psát na stroji
typically;typicky, obvykle
tyre;pneumatika
ugly;ošklivý
unable;neschopný
uncomfortable;nepohodlný
underwear;spodní prádlo
unemployed;nezaměstnaný
unemployment;nezaměstnanost
unfair;nespravedlivý
union;unie, odbory
unless;pokud ne
unlike;na rozdíl od
unlikely;nepravděpodobný
unnecessary;zbytečný, nepotřebný
unpleasant;nepříjemný
update;aktualizace, aktualizovat
upon;na (knižní), po
upset;rozrušený, naštvaný
used;použitý
valuable;cenný
value;hodnota, ocenit
various;různý, rozmanitý
version;verze
victim;oběť
view;pohled, názor
viewer;divák
violent;násilný
volunteer;dobrovolník
vote;hlasovat, hlas
warm;teplý, ohřát
warn;varovat
warning;varování
waste;plýtvat, odpad
water;voda, zalévat
wave;vlna, mávat
weapon;zbraň
weigh;vážit
western;západní
whatever;cokoli, cokoliv
whenever;kdykoli
whether;zda, jestli
while;zatímco, chvíle
whole;celý
will;vůle, budoucí čas
win;vyhrát
wing;křídlo
within;uvnitř, během
wonder;divit se, div
wool;vlna
worldwide;celosvětově
worry;starost, obávat se
worse;horší
worst;nejhorší
worth;hodnota, stát za to
written;psaný, napsaný
wrong;špatný, nesprávný
yard;yard, dvůr
young;mladý
youth;mládež
